Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Дацюк;Геннадій;Климентович;Чоловік;1966-03-02;Кур'єр;місто Хмельницький;парк Яружний, буд. 453, Васильків, 02504;+380 79 308 40 73;vasylperebyinis@example.org
Христич;Богдан;Єлисейович;Чоловік;1977-07-01;Льотчик;хутір Тульчин;парк Деревообробний 4-й, буд. 15 кв. 523, Марганець , 68719;498 06 54;tetiana60@example.net
Деряжний;Давид;Богданович;Чоловік;1981-01-07;Бізнесмен;село Ізмаїл;проспект Садовий, буд. 570 кв. 72, Миронівка, 26636;+380 42 840 57 74;gmasokha@example.org
Аврамчук;Аркадій;Єлисейович;Чоловік;1986-10-08;Соціолог;село Белз;парк Місячна, буд. 9 кв. 9, Носівка, 97784;031 571 48 71;lhavryliv@example.com
Арсенич;Ярема;Зиновійович;Чоловік;1991-02-13;Візажист;місто Сколе;набережна Бессарабська, буд. 04, Алушта, 01953;+380 33 772 15 28;ysaienko@example.org
Бандера;Омелян;Леопольдович;Чоловік;1961-08-23;Фрілансер;селище Виноградів;проспект Ямська, буд. 169, Белз, 90366;529 61 65;overnydub@example.net
Луценко;Аркадій;Федорович;Чоловік;1991-12-15;Режисер;селище Камінь-Каширський;шосе Одеса-Головна, буд. 780 кв. 9, Кипуче, 43310;+380 (74) 858-90-04;vysochanarsen@example.com
Луценко;Мирон;Веніяминович;Чоловік;1960-12-01;Стоматолог;місто Баранівка;проспект Газова, буд. 86 кв. 7, Белз, 75293;096 702 76 20;ustym86@example.com
Рудик;Прохір;Макарович;Чоловік;1984-04-09;Водій;селище Борислав;шосе Профспілкова, буд. 70 кв. 6, Шаргород, 62978;727-10-95;pavlychenkooles@example.net
Бабич;Семен;Несторович;Чоловік;1964-09-13;Художник;місто Тисмениця;площа Андреєвського, буд. 379 кв. 9, Почаїв, 88084;056 047-15-15;panteleimonbebeshko@example.net
Влох;Ростислав;Панасович;Чоловік;1958-07-12;Стропальник;село Попасна;узвіз Гімназична, буд. 97 кв. 90, Запоріжжя, 86530;+380 (34) 149-65-20;iaryna53@example.com
Ванченко;Леонтій;Степанович;Чоловік;1953-07-14;Етнограф;місто Стрий;парк Стовпова, буд. 913, Мена , 12052;+380 45 579 72 59;opanas69@example.org
Корпанюк;Артем;Стефанович;Чоловік;1946-07-31;Біолог;хутір Моспине;сквер Донецька, буд. 91 кв. 69, Алмазна, 37760;084 539-60-94;mvatamaniuk@example.org
Сиротенко;Мартин;Святославович;Чоловік;1971-01-22;Дипломат;селище Заставна;набережна Чернігівська, буд. 2, Борщів, 29485;964 67 95;albertdatsiuk@example.com
Бабʼяк;Левко;Прохорович;Чоловік;1977-04-06;Акушер;селище Кривий Ріг;узвіз Учнівська, буд. 89, Липовець, 30518;+380 (07) 736-85-00;shcherbanvira@example.org
Дахно;Михайло;Єфремович;Чоловік;1985-03-28;Співак;село Ірпінь;провулок Вітчизняна, буд. 204 кв. 168, Новомосковськ, 80612;093 354-07-89;hskoryk@example.net
Лесик;Стефан;Микитович;Чоловік;1988-05-14;Юрист;місто Тараща;парк Рівності, буд. 7 кв. 6, Балаклія, 23672;908 07 91;pustovitvasyl@example.com
Баранець;Валерій;Максимович;Чоловік;1938-02-10;Перекладач;селище Бобринець;набережна Рибальська балка, буд. 57 кв. 001, Липовець, 18673;+380 (26) 515-45-54;danylobaidak@example.com
Скиба;Алевтин;Мартинович;Чоловік;1990-10-31;Етнограф;хутір Кагарлик;сквер Дальній, буд. 474 кв. 90, Благовіщенське, 44763;421-33-83;opanasdrobakha@example.net
Гоголь-Яновський;Зорян;Августинович;Чоловік;1992-04-01;Піаніст;хутір Красилів;сквер Рівності, буд. 43 кв. 6, Хорол , 27297;+380 (86) 506-40-27;mykytasirobaba@example.net
Малишко;Августин;Ігнатович;Чоловік;1987-08-31;Сантехнік;село Рівне;узвіз Макарова, буд. 0, Сулимівка (Слов'янськ), 26522;073-76-03;rvasylenko@example.com
Шаблій;Ігнат;Захарович;Чоловік;1972-04-01;Актор;хутір Новоукраїнка;шосе Обільна, буд. 13, Полонне, 48247;633-40-19;iurchukiukhym@example.com
Гаврилишин;Геннадій;Опанасович;Чоловік;1998-09-03;Ріелтор;село Олександрівськ;парк Дунаєвського, буд. 2, Торецьк, 09589;+380 (13) 783-37-02;ttereshchuk@example.org
Захаренко;Варфоломій;Іванович;Чоловік;1965-11-30;Реабілітолог;селище Звенигородка;шосе 6-та Суворовська, буд. 21, Борзна, 75036;251 54 18;uzakharenko@example.net
Фаренюк;Прохір;Леонтійович;Чоловік;1967-07-09;Бізнесмен;селище Вараш;узвіз Асташкіна, буд. 311, Сквира, 86086;+380 14 473-97-37;mykolaimazepa@example.net
Єрьоменко;Миколай;Григорійович;Чоловік;1950-09-20;Скульптор;місто Тернопіль;парк Грузовий, буд. 349 кв. 627, Новоград-Волинський, 91778;621-81-77;trokhymkarpa@example.net
Вергун;Йосип;Семенович;Чоловік;1965-04-17;Мірошник;село Сніжне;шосе Французький, буд. 239, Почаїв, 91159;+380 81 153-09-72;iiarema@example.com
Доценко;Симон;Захарович;Чоловік;1983-09-04;Фотограф;хутір Хмельницький;узвіз Лінія 45-та, буд. 00 кв. 85, Теплодар, 75534;+380 (45) 349-64-84;lukashiosyp@example.com
Дахно;Семен;Назарович;Чоловік;2005-07-23;Модельєр;місто Соледар;набережна Станційна 2-га, буд. 59 кв. 096, Красноперекопськ, 03617;+380 02 112 12 05;demydshevchenko@example.com
Макаренко;Веніямин;Романович;Чоловік;2000-02-25;Астроном;хутір Бахмут;проспект Клинова, буд. 91, Золотоноша, 54350;000 163 13 99;riabovilleon@example.com
Акименко;Єфрем;Тарасович;Чоловік;1973-12-06;Стропальник;село Почаїв;проспект Лінія 46-та, буд. 40, Судак , 23584;078 689-72-28;roksolanadzhus@example.net
Товстоліс;Симон;Симонович;Чоловік;1971-04-16;Бібліограф;хутір Лутугине;площа Липнева, буд. 8, Коломия, 06628;679 55 03;vashchukdavyd@example.com
Вишиваний;Гордій;Тарасович;Чоловік;1980-07-02;Педагог;село Ковель;шосе Мечникова, буд. 2, Павлоград, 39976;061 721 77 47;tsisykroksolana@example.net
Адаменко;Остап;Ааронович;Чоловік;1993-07-11;Астрофізик;хутір Гірник ;вулиця Текстильників, буд. 731 кв. 83, Снігурівка, 17559;+380 84 530 74 13;nlutsenko@example.net
Авраменко;Спас;Прохорович;Чоловік;2001-05-14;Геолог;селище Молочанськ;парк Чорноморський 7-й, буд. 63, Горішні Плавні, 50304;+380 08 830-49-67;andrii90@example.net
Вівчаренко;Миколай;Арсенович;Чоловік;2000-09-21;Дипломат;місто Бібрка;площа Моторний 2-й, буд. 1, Судак , 59826;217 52 19;bhydenkobohuslav@example.org
Бакуменко;Станіслав;Кирилович;Чоловік;1949-02-05;Геолог;місто Новогродівка;шосе Заводська 1-ша, буд. 365 кв. 552, Червоноград, 40563;+380 56 960 51 59;solomon93@example.org
Сагаль;Варфоломій;Мирославович;Чоловік;1955-04-15;Ювелір;хутір Ківерці;сквер Лінія 31-ша, буд. 7, Сокиряни, 80371;+380 07 076 71 04;yverhun@example.net
Чубай;Демʼян;Леопольдович;Чоловік;1954-05-13;Фольклорист;місто Новоукраїнка;провулок Лазурний 4-й, буд. 198, Залізне, 26760;+380 (32) 852-56-80;ielysaveta12@example.net
Артюх;Борис;Олесьович;Чоловік;1991-01-03;Соціолог;селище Південне ;провулок Чорноморський, буд. 718, Боково-Хрустальне, 58871;+380 (07) 016-03-06;sviatoslavandriishyn@example.com
Ґерус;Кирило;Гаврилович;Чоловік;1994-09-11;Програміст;хутір Вінниця;набережна Дніпровська, буд. 1, Зоринськ, 90827;+380 03 199 43 51;xtsushko@example.com
Шахрай;Демид;Азарович;Чоловік;2006-02-15;Агроном;село Судова Вишня;узвіз Флотська, буд. 68, Кодима, 58277;+380 43 604 13 40;ibabko@example.org
Фурс;Павло;Августинович;Чоловік;1944-11-30;Ріелтор;селище Ржищів;провулок Новікова 2-га, буд. 8 кв. 5, Шумськ, 44258;608-02-86;xhaidai@example.net
Вернидуб;Кирило;Олексович;Чоловік;1950-02-11;Астроном;місто Фастів;провулок Аполона Скальковського, буд. 187 кв. 00, Харків, 70651;084 717-14-22;rozaliia26@example.net
Баран;Назар;Стефанович;Чоловік;1946-10-12;Кушнір;хутір Тараща;парк 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 1, Березівка, 47612;167 80 42;zakharvernyhora@example.net
Батуринець;Аврелій;Олегович;Чоловік;1999-03-21;Фольклорист;хутір Почаїв;набережна Лінія 26-та, буд. 05 кв. 82, Тульчин, 37683;061 987 73 46;ekhmara@example.com
Доценко;Степан;Віталійович;Чоловік;1969-11-06;Футболіст;хутір Бровари;провулок Миколи Вороного, буд. 80 кв. 444, Ясинувата, 89339;971 64 51;evelychko@example.com
Аврамчук;Демид;Леопольдович;Чоловік;1954-10-28;Кухар;хутір Слов'янськ;набережна Аеропортівський 2-й, буд. 732 кв. 70, Ясинувата, 56658;081 995 21 96;vitalii54@example.org
Дрозд;Едуард;Євгенійович;Чоловік;1943-10-04;Маркетолог;місто Новояворівськ;набережна Чернишевського, буд. 627 кв. 5, Нікополь, 34944;+380 31 283 95 85;radchenkovarfolomii@example.com
Чалий;Макар;Романович;Чоловік;1965-02-10;Архітектор;селище Узин;узвіз Марії Демченко, буд. 833, Вознесенівка, 44089;+380 54 834-53-55;kamilla30@example.com
Мазур;Дан;Ярославович;Чоловік;1978-06-21;Секретар;село Берестечко;узвіз Проектований 3-й, буд. 1, Боярка, 73078;045 936 15 93;shylovira@example.org
Верхола;Леонтій;Трохимович;Чоловік;1988-02-14;Бізнесмен;село Монастириська;провулок Новоукраїнський, буд. 670 кв. 177, Південне , 43662;+380 (85) 314-81-82;ruslan89@example.com
Гаврилюк;Макар;Семенович;Чоловік;2007-06-28;Лікар;місто Тлумач;провулок Демократична, буд. 874 кв. 49, Житомир, 56974;+380 (37) 004-05-36;klymentkozak@example.org
Лаба;Амвросій;Геннадійович;Чоловік;1986-05-31;Флорист;хутір Покровськ;шосе Новобазарний, буд. 186 кв. 21, Зугрес, 24555;+380 74 402-34-00;boleslavhupalo@example.org
Корбут;Марко;Григорійович;Чоловік;2006-08-10;Науковець;хутір Перемишляни;парк Оранжерейний, буд. 5 кв. 191, Кальміуське, 15039;019 351 58 36;shabliimykolai@example.org
Гунько;Арсен;Орестович;Чоловік;1990-01-26;Слідчий;хутір Старий Самбір;шосе Мічманський 1-й, буд. 935 кв. 20, Хирів, 74176;006 934 91 35;veniiamyn65@example.org
Гайда;Дан;Богданович;Чоловік;1976-06-01;Льотчик;селище Олешки;сквер Макарова, буд. 9, Лохвиця, 51961;188-93-41;irenakaras@example.net
Свириденко;Єфрем;Тимофійович;Чоловік;1972-02-03;Композитор;селище Вижниця;проспект Могилівська, буд. 73, Березівка, 26547;063 583 71 21;fareniukorysia@example.org
Ящук;Руслан;Данилович;Чоловік;1955-01-12;Мовознавець;село Золоте;провулок 9-та Лінія Дачі Ковалевського, буд. 327, Енергодар, 90703;036 272 07 90;olena56@example.net
Засядько;Франц;Станіславович;Чоловік;2001-06-01;Флорист;селище Карлівка;проспект Задніпровського, буд. 00 кв. 586, Черкаси, 70973;+380 39 282-78-29;solomon71@example.com
Дзюба;Устим;Ярославович;Чоловік;1973-11-29;Режисер;селище Гадяч;площа Йосипа Тимченка, буд. 89, Вознесенівка, 95747;+380 (36) 787-24-92;uskorobohatko@example.net
Заруба;Пилип;Семенович;Чоловік;1940-04-14;Письменник;хутір Решетилівка;шосе Чорноморський 11-й, буд. 5 кв. 58, Угнів, 76332;935 51 23;varfolomii81@example.net
Свистун;Богодар;Устимович;Чоловік;1998-01-20;Юрист;хутір Сторожинець;узвіз Пастера, буд. 89, Амвросіївка, 24495;537-62-30;havryletsiarema@example.org
Бевзенко;Омелян;Артемович;Чоловік;1969-05-28;Філолог;місто Залізне;набережна Гонтаренко, буд. 79 кв. 12, Олександрія, 25070;006 518 97 79;piddubnastepan@example.org
Цимбалюк;Аврелій;Богодарович;Чоловік;1950-09-02;Конструктор;село Яворів;узвіз Естонський, буд. 05 кв. 48, Новодністровськ, 80486;059 599-41-25;cbakumenko@example.org
Юрчук;Трохим;Русланович;Чоловік;1943-12-12;Кухар;місто Мостиська;сквер Тополиний, буд. 66, Вилкове, 27960;+380 77 701-94-23;alekseienkoada@example.org
Теліженко;Едуард;Арсенович;Чоловік;1952-12-09;Скульптор;місто Шаргород;провулок Пересипська 5-та, буд. 73, Ічня, 37433;067 141 50 35;kostiantyn79@example.org
Єсипенко;Георгій;Азарович;Чоловік;1965-01-20;Кінолог;село Арциз;площа 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 080 кв. 12, Перечин, 69090;+380 98 408-53-22;korbuthordii@example.com
Юрчук;Зорян;Юстимович;Чоловік;1991-02-12;Ґрунтознавець;місто Турка;узвіз Заводська 2-га, буд. 0, Долина , 07147;+380 07 318-95-05;vasyllesyk@example.com
Щириця;Антон;Русланович;Чоловік;1954-02-06;Фізик;селище Костопіль;проспект Гранатний, буд. 03 кв. 689, Вільнянськ, 64070;+380 52 223-98-56;anton19@example.org
Заруба;Єлисей;Григорійович;Чоловік;2003-07-11;Математик;хутір Федорівка;провулок Діхтієвського Віктора, буд. 91, Кипуче, 40869;338-09-52;sviatoslavabatih@example.net
Ґерета;Опанас;Єфремович;Чоловік;1974-08-29;Математик;село Южноукраїнськ;шосе Ризька, буд. 38, Пирятин, 84398;+380 11 236-28-16;shabliianzhela@example.net
Нестайко;Олег;Віталійович;Чоловік;1998-11-12;Письменник;село Молодогвардійськ;парк 2-га Суворовська, буд. 641 кв. 60, Заводське, 59926;+380 (00) 168-15-64;tarasdrobakha@example.com
Артеменко;Зорян;Орестович;Чоловік;1961-07-15;Доцент;хутір Волноваха;шосе ім. К.Г. Паустовського, буд. 3, Вуглегірськ, 05093;+380 (88) 699-93-24;isaienkopylyp@example.net
Бабійчук;Данило;Алевтинович;Чоловік;1942-12-14;Модельєр;село Прип'ять ;парк Художника Федорова, буд. 8 кв. 8, Макіївка, 78264;080 314-24-10;judovenko@example.org
Козаченко;Ілля;Зиновійович;Чоловік;2004-11-06;Менеджер;селище Маріуполь;парк Сабанський, буд. 75, Борзна, 52358;015 911-27-03;fedirabrahamovska@example.org
Артим;Стефан;Олегович;Чоловік;1955-05-13;Машиніст;селище Семенівка;парк Шефська, буд. 73 кв. 744, Тисмениця, 46335;+380 69 814-76-68;aaron28@example.net
Тригуб;Петро;Хомович;Чоловік;2005-02-23;Актор;хутір Южноукраїнськ;провулок Костанді 2-й, буд. 99 кв. 69, Дніпрорудне, 63082;092 321 24 57;avdieienkohanna@example.com
Чумак;Борислав;Миронович;Чоловік;1953-06-23;Кінокритик;хутір Покров;вулиця Картамишевський, буд. 8, Ірпінь, 33350;+380 84 045 96 40;edytatereshchuk@example.com
Колісниченко;Пармен;Тарасович;Чоловік;1992-02-27;М'ясник;село Карлівка;набережна Ширшова, буд. 2 кв. 8, Селидове, 98259;+380 (12) 492-48-88;zlatoslavaartymovych@example.com
Ажажа;Гордій;Гордійович;Чоловік;1943-06-25;Кінокритик;село Ватутіне;провулок Новикова, буд. 6, Белз, 69838;041 184 31 42;drobiazkoheorhii@example.net
